"id","name","event_no","card_cost","color","max_in_deck","restriction","image","caption","filler","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
19,"防御3カード",529,0,0,18,,"event04.swf","このカードは防御3として扱う",0,"2010-10-17 06:35:33 UTC","Defense 3","Défense 3","방어3 카드","防御3卡","防禦3卡","Shield 3","การ์ดป้องกัน 3","This card can be used as a Defense 3.","Cette carte peut être utilisée comme Défense 3","이 카드는 방어3의 효과가 있습니다.","此卡当作防御3使用","此卡當作防禦3使用","Digunakan sebagai Shield 3","ใช้การ์ดนี้เพื่อการป้องกัน 3"
20,"防御4カード",565,1,5,9,,"event04.swf","このカードは防御4として扱う",0,"2010-10-17 06:35:33 UTC","Defense 4","Défense 4","방어4 카드","防御4卡","防禦4卡","Shield 4","การ์ดป้องกัน 4","This card can be used as a Defense 4.","Cette carte peut être utilisée comme Défense 4","이 카드는 방어4의 효과가 있습니다.","此卡当作防御4使用","此卡當作防禦4使用","Digunakan sebagai Shield 4","ใช้การ์ดนี้เพื่อการป้องกัน 4"
21,"防御5カード",583,1,5,9,,"event04.swf","このカードは防御5として扱う",0,"2010-10-17 06:35:33 UTC","Defense 5","Défense 5","방어5 카드","防御5卡","防禦5卡","Shield 5","การ์ดป้องกัน 5","This card can be used as a Defense 5.","Cette carte peut être utilisée comme Défense 5","이 카드는 방어5의 효과가 있습니다.","此卡当作防御5使用","此卡當作防禦5使用","Digunakan sebagai Shield 5","ใช้การ์ดนี้เพื่อการป้องกัน 5"
22,"移動1カード",601,0,0,18,,"event04.swf","このカードは移動1として扱う",0,"2010-10-17 06:35:33 UTC","Move 1","Mouvement 1","이동1 카드","移动1卡","移動1卡","Move 1","การ์ดเคลื่อนย้าย 1","This card can be used as a Move 1.","Cette carte peut être utilisée comme Mouvement 1","이 카드는 이동1의 효과가 있습니다.","此卡当作移动1使用","此卡當作移動1使用","Digunakan sebagai Move 1","ใช้การ์ดนี้เพื่อการเคลื่อนย้าย 1"
23,"移動2カード",637,1,7,9,,"event04.swf","このカードは移動2として扱う",0,"2010-10-17 06:35:33 UTC","Move 2","Mouvement 2","이동2 카드","移动2卡","移動2卡","Move 2","การ์ดเคลื่อนย้าย 2","This card can be used as a Move 2.","Cette carte peut être utilisée comme Mouvement 2","이 카드는 이동2의 효과가 있습니다.","此卡当作移动2使用","此卡當作移動2使用","Digunakan sebagai Move 2","ใช้การ์ดนี้เพื่อการเคลื่อนย้าย 2"
24,"移動3カード",655,1,7,9,,"event04.swf","このカードは移動3として扱う",0,"2010-10-17 06:35:33 UTC","Move 3","Mouvement 3","이동3 카드","移动3卡","移動3卡","Move 3","การ์ดเคลื่อนย้าย 3","This card can be used as a Move 3.","Cette carte peut être utilisée comme Mouvement 3","이 카드는 이동3의 효과가 있습니다.","此卡当作移动3使用","此卡當作移動3使用","Digunakan sebagai Move 3","ใช้การ์ดนี้เพื่อการเคลื่อนย้าย 3"
25,"移動4カード",673,2,7,9,,"event04.swf","このカードは移動4として扱う",0,"2010-10-17 06:35:33 UTC","Move 4","Mouvement 4","이동4 카드","移动4卡","移動4卡","Move 4","การ์ดเคลื่อนย้าย 4","This card can be used as a Move 4.","Cette carte peut être utilisée comme Mouvement 4","이 카드는 이동4의 효과가 있습니다.","此卡当作移动4使用","此卡當作移動4使用","Digunakan sebagai Move 4","ใช้การ์ดนี้เพื่อการเคลื่อนย้าย 4"
26,"移動5カード",691,2,7,9,,"event04.swf","このカードは移動5として扱う",0,"2010-10-17 06:35:33 UTC","Move 5","Mouvement 5","이동5 카드","移动5卡","移動5卡","Move 5","การ์ดเคลื่อนย้าย 5","This card can be used as a Move 5.","Cette carte peut être utilisée comme Mouvement 5","이 카드는 이동5의 효과가 있습니다.","此卡当作移动5使用","此卡當作移動5使用","Digunakan sebagai Move 5","ใช้การ์ดนี้เพื่อการเคลื่อนย้าย 5"
27,"特殊1カード",709,0,0,18,,"event04.swf","このカードは特殊1として扱う",0,"2010-10-17 06:35:33 UTC","Special 1","Spécial 1","특수1 카드","特殊1卡","特殊1卡","Special 1","การ์ดพิเศษ 1","This card can be used as a Special 1.","Cette carte peut être utilisée comme Spécial 1","이 카드는 특수1의 효과가 있습니다.","此卡当作特殊1使用","此卡當作特殊1使用","Digunakan sebagai Special 1","ใช้การ์ดนี้เพื่อเป็นท่าพิเศษ 1"
28,"特殊2カード",745,1,0,18,,"event04.swf","このカードは特殊2として扱う",0,"2010-10-17 06:35:33 UTC","Special 2","Spécial 2","특수2 카드","特殊2卡","特殊2卡","Special 2","การ์ดพิเศษ 2","This card can be used as a Special 2.","Cette carte peut être utilisée comme Spécial 2","이 카드는 특수2의 효과가 있습니다.","此卡当作特殊2使用","此卡當作特殊2使用","Digunakan sebagai Special 2","ใช้การ์ดนี้เพื่อเป็นท่าพิเศษ 2"
29,"特殊3カード",781,1,6,9,,"event04.swf","このカードは特殊3として扱う",0,"2010-10-17 06:35:33 UTC","Special 3","Spécial 3","특수3 카드","特殊3卡","特殊3卡","Special 3","การ์ดพิเศษ 3","This card can be used as a Special 3.","Cette carte peut être utilisée comme Spécial 3","이 카드는 특수3의 효과가 있습니다.","此卡当作特殊3使用","此卡當作特殊3使用","Digunakan sebagai Special 3","ใช้การ์ดนี้เพื่อเป็นท่าพิเศษ 3"
30,"特殊4カード",799,2,6,9,,"event04.swf","このカードは特殊4として扱う",0,"2010-10-17 06:35:33 UTC","Special 4","Spécial 4","특수4 카드","特殊4卡","特殊4卡","Special 4","การ์ดพิเศษ 4","This card can be used as a Special 4.","Cette carte peut être utilisée comme Spécial 4","이 카드는 특수4의 효과가 있습니다.","此卡当作特殊4使用","此卡當作特殊4使用","Digunakan sebagai Special 4","ใช้การ์ดนี้เพื่อเป็นท่าพิเศษ 4"
31,"特殊5カード",817,2,6,9,,"event04.swf","このカードは特殊5として扱う",0,"2010-10-17 06:35:33 UTC","Special 5","Spécial 5","특수5 카드","特殊5卡","特殊5卡","Special 5","การ์ดพิเศษ 5","This card can be used as a Special 5.","Cette carte peut être utilisée comme Spécial 5","이 카드는 특수5의 효과가 있습니다.","此卡当作特殊5使用","此卡當作特殊5使用","Digunakan sebagai Special 5","ใช้การ์ดนี้เพื่อเป็นท่าพิเศษ 5"
32,"チャンスカード1",835,0,0,18,,"event04.swf","提出時にデッキからカードを1枚ドローする",0,"2010-10-17 06:35:33 UTC","Chance Card 1","Carte Chance 1","클로버1 카드","机会卡1","機會卡1","Chance 1","ชานส์การ์ด 1","Draw a card from the deck.","Tirer 1 carte de la pioche","드롭시 1장의 카드를 드로우 합니다.","出牌后从卡组抽1张卡","出牌後從卡組抽1張卡","Mengambil 1 kartu dari Deck","เมื่อใช้การ์ดจะสามารถจั่วการ์ดจากสำรับได้อีก 1 ใบ"
33,"チャンスカード2",871,1,1,9,,"event04.swf","提出時にデッキからカードを2枚ドローする",0,"2010-10-17 06:35:33 UTC","Chance Card 2","Carte Chance 2","클로버2 카드","机会卡2","機會卡2","Chance 2","ชานส์การ์ด 2","Draw 2 cards from the deck.","Tirer 2 cartes de la pioche","드롭시 2장의 카드를 드로우 합니다.","出牌后从卡组抽2张卡","出牌後從卡組抽2張卡","Mengambil 2 kartu dari Deck","เมื่อใช้การ์ดจะสามารถจั่วการ์ดจากสำรับได้อีก 2 ใบ"
34,"チャンスカード3",889,1,1,9,,"event04.swf","提出時にデッキからカードを3枚ドローする",0,"2010-10-17 06:35:33 UTC","Chance Card 3","Carte Chance 3","클로버3 카드","机会卡3","機會卡3","Chance 3","ชานส์การ์ด 3","Draw 3 cards from the deck.","Tirer 3 cartes de la pioche","드롭시 3장의 카드를 드로우 합니다.","出牌后从卡组抽3张卡","出牌後從卡組抽3張卡","Mengambil 3 kartu dari Deck","เมื่อใช้การ์ดจะสามารถจั่วการ์ดจากสำรับได้อีก 3 ใบ"
35,"チャンスカード4",907,2,1,9,,"event04.swf","提出時にデッキからカードを4枚ドローする",0,"2010-10-17 06:35:33 UTC","Chance Card 4","Carte Chance 4","클로버4 카드","机会卡4","機會卡4","Chance 4","ชานส์การ์ด 4","Draw 4 cards from the deck.","Tirer 4 cartes de la pioche","드롭시 4장의 카드를 드로우 합니다.","出牌后从卡组抽4张卡","出牌後從卡組抽4張卡","Mengambil 4 kartu dari Deck","เมื่อใช้การ์ดจะสามารถจั่วการ์ดจากสำรับได้อีก 4 ใบ"
36,"チャンスカード5",925,2,1,9,,"event04.swf","提出時にデッキからカードを5枚ドローする",0,"2010-10-17 06:35:33 UTC","Chance Card 5","Carte Chance 5","클로버5 카드","机会卡5","機會卡5","Chance 5","ชานส์การ์ด 5","Draw 5 cards from the deck.","Tirer 5 cartes de la pioche","드롭시 5장의 카드를 드로우 합니다.","出牌后从卡组抽5张卡","出牌後從卡組抽5張卡","Mengambil 5 kartu dari Deck","เมื่อใช้การ์ดจะสามารถจั่วการ์ดจากสำรับได้อีก 5 ใบ"
37,"Hp回復",943,1,5,9,,"event04.swf","ヒットポイント1回復",0,"2010-10-17 06:35:33 UTC","HP Recover 1","Récupération HP 1","HP회복1 카드","Hp恢复","Hp恢復","Heal 1","ฟื้นค่า Hp","Recover 1 hit point.","Vos HP augmentent de 1","HP를 1포인트 회복합니다.","回复1点Hp","回復1點Hp","Memulihkan 1 HP","ฟื้นค่าพลังชีวิต 1 แต้ม"
38,"Hp回復",961,1,5,9,,"event04.swf","ヒットポイント2回復",0,"2010-10-17 06:35:33 UTC","HP Recover 2","Récupération HP 2","HP회복2 카드","Hp恢复","Hp恢復","Heal 2","ฟื้นค่า Hp","Recover 2 hit point.","Vos HP augmentent de 2","HP를 2포인트 회복합니다.","回复2点Hp","回復2點Hp","Memulihkan 2 HP","ฟื้นค่าพลังชีวิต 2 แต้ม"
39,"Hp回復",979,2,5,9,,"event04.swf","ヒットポイント3回復",0,"2010-10-17 06:35:33 UTC","HP Recover 3","Récupération HP 3","HP회복3 카드","Hp恢复","Hp恢復","Heal 3","ฟื้นค่า Hp","Recover 3 hit point.","Vos HP augmentent de 3","HP를 3포인트 회복합니다.","回复3点Hp","回復3點Hp","Memulihkan 3 HP","ฟื้นค่าพลังชีวิต 3 แต้ม"
40,"聖水",997,0,0,18,,"event04.swf","パラメータ異常回復",0,"2010-10-17 06:35:33 UTC","Holy Water","Eau bénite","성수","圣水","聖水","Holy Water","น้ำมนต์","Recover from abnormal status effects.","Vous recouvrez d'un disfonctionnement de paramètre","상태이상을 회복합니다.","解除异常状态","解除異常狀態","Memilihkan kelainan status","ฟื้นค่าตัวแปรที่ผิดปกติ"
41,"スピード",1033,5,7,9,,"event04.swf","必ずイニシアチブを取る",0,"2010-10-17 06:35:33 UTC","Speed","Vitesse","선공카드","速攻","速攻","Speed","สปีด","Take initiative without fail.","Vous prenez toujours l'initiative","선제공격권을 획득합니다.","取得主动权","取得主動權","Menyerang lebih dulu","ได้เป็นฝ่ายโจมตีก่อน"
42,"カースカード1",1051,0,2,9,,"event04.swf","提出時に相手のカードを1枚破棄する",0,"2010-10-17 06:35:33 UTC","Curse 1","Malédiction 1","파괴1 카드","诅咒术1","詛咒術1","Curse 1","การ์ดคำสาป 1","When you play this card, destroy 1 of your opponent's cards.","Vous détruisez la carte de votre adversaire","드롭시 상대의 카드를 1장 파괴합니다.","出牌后丢弃对手1张手牌","出牌後丟棄對手1張手牌","Membuang 1 kartu lawan","เมื่อใช้การ์ดจะสามารถทำลายการ์ดฝ่ายตรงข้ามได้ 1 ใบ"
43,"カースカード2",1069,1,2,9,,"event04.swf","提出時に相手のカードを2枚破棄する",0,"2010-10-17 06:35:33 UTC","Curse 2","Malédiction 2","파괴2 카드","诅咒术2","詛咒術2","Curse 2","การ์ดคำสาป 2","When you play this card, destroy 2 of your opponent's cards.","Vous détruisez 2 cartes de votre adversaire","드롭시 상대의 카드를 2장 파괴합니다.","出牌后丢弃对手2张手牌","出牌後丟棄對手2張手牌","Membuang 2 kartu lawan","เมื่อใช้การ์ดจะสามารถทำลายการ์ดฝ่ายตรงข้ามได้ 2 ใบ"
44,"カースカード3",1087,1,2,9,,"event04.swf","提出時に相手のカードを3枚破棄する",0,"2010-10-17 06:35:33 UTC","Curse 3","Malédiction 3","파괴3 카드","诅咒术3","詛咒術3","Curse 3","การ์ดคำสาป 3","When you play this card, destroy 3 of your opponent's cards.","Vous détruisez 3 cartes de votre adversaire","드롭시 상대의 카드를 3장 파괴합니다.","出牌后丢弃对手3张手牌","出牌後丟棄對手3張手牌","Membuang 3 kartu lawan","เมื่อใช้การ์ดจะสามารถทำลายการ์ดฝ่ายตรงข้ามได้ 3 ใบ"
45,"カースカード4",1105,2,2,9,,"event04.swf","提出時に相手のカードを4枚破棄する",0,"2010-10-17 06:35:33 UTC","Curse 4","Malédiction 4","파괴4 카드","诅咒术4","詛咒術4","Curse 4","การ์ดคำสาป 4","When you play this card, destroy 4 of your opponent's cards.","Vous détruisez 4 cartes de votre adversaire","드롭시 상대의 카드를 4장 파괴합니다.","出牌后丢弃对手4张手牌","出牌後丟棄對手4張手牌","Membuang 4 kartu lawan","เมื่อใช้การ์ดจะสามารถทำลายการ์ดฝ่ายตรงข้ามได้ 4 ใบ"
46,"カースカード5",1123,2,2,9,,"event04.swf","提出時に相手のカードを5枚破棄する",0,"2010-10-17 06:35:33 UTC","Curse 5","Malédiction 5","파괴5 카드","诅咒术5","詛咒術5","Curse 5","การ์ดคำสาป 5","When you play this card, destroy 5 of your opponent's cards.","Vous détruisez 5 cartes de votre adversaire","드롭시 상대의 카드를 5장 파괴합니다.","出牌后丢弃对手5张手牌","出牌後丟棄對手5張手牌","Membuang 5 kartu lawan","เมื่อใช้การ์ดจะสามารถทำลายการ์ดฝ่ายตรงข้ามได้ 5 ใบ"
47,"剣3・銃1カード",1141,0,0,18,,"event04.swf","このカードは剣3・銃1として扱う",0,"2010-10-17 06:35:33 UTC","Sword 3/Gun 1","Epée 3/Fusil 1","검3+총1 카드","剑3·枪1卡","劍3·槍1卡","Sword 3/Gun 1","การ์ดดาบ 3 ปืน 1","This card can be used as either a Sword 3 or a Gun 1.","Cette carte peut être utilisée comme Epée 3/Fusil 1","이 카드는 [검3]or[총1]의 효과가 있습니다.","此卡当作剑3·枪1使用","此卡當作劍3·槍1使用","Digunakan sebagai Sword 3/Gun 1","ใช้การ์ดนี้แทนดาบ 3 ปืน 1"
48,"剣4・銃2カード",1177,1,3,9,,"event04.swf","このカードは剣4・銃2として扱う",0,"2010-10-17 06:35:33 UTC","Sword 4/Gun 2","Epée 4/Fusil 2","검4+총2 카드","剑4·枪2卡","劍4·槍2卡","Sword 4/Gun 2","การ์ดดาบ 4 ปืน 2","This card can be used as either a Sword 4 or a Gun 2.","Cette carte peut être utilisée comme Epée 4/Fusil 2","이 카드는 [검4]or[총2]의 효과가 있습니다.","此卡当作剑4·枪2使用","此卡當作劍4·槍2使用","Digunakan sebagai Sword 4/Gun 2","ใช้การ์ดนี้แทนดาบ 4 ปืน 2"
49,"剣5・銃3カード",1195,1,3,9,,"event04.swf","このカードは剣5・銃3として扱う",0,"2010-10-17 06:35:33 UTC","Sword 5/Gun 3","Epée 5/Fusil 3","검5+총3 카드","剑5·枪3卡","劍5·槍3卡","Sword 5/Gun 3","การ์ดดาบ 5 ปืน 3","This card can be used as either a Sword 5 or a Gun 3.","Cette carte peut être utilisée comme Epée 5/Fusil 3","이 카드는 [검5]or[총3]의 효과가 있습니다.","此卡当作剑5·枪3使用","此卡當作劍5·槍3使用","Digunakan sebagai Sword 5/Gun 3","ใช้การ์ดนี้แทนดาบ 5 ปืน 3"
50,"銃3・剣1カード",1213,0,0,18,,"event04.swf","このカードは銃3・剣1として扱う",0,"2010-10-17 06:35:33 UTC","Gun 3/Sword 1","Fusil 3/Epée 1","총3+검1 카드","枪3·剑1卡","槍3·劍1卡","Gun 3/Sword 1","การ์ดปืน 3 ดาบ 1","This card can be used as either a Gun 3 or a Sword 1.","Cette carte peut être utilisée comme Fusil 3/Epée 1","이 카드는 [총3]or[검1]의 효과가 있습니다.","此卡当作枪3·剑1使用","此卡當作槍3·劍1使用","Digunakan sebagai Gun 3/Sword 1","ใช้การ์ดนี้แทนปืน 3 ดาบ 1"
51,"銃4・剣2カード",1249,1,4,9,,"event04.swf","このカードは銃4・剣2として扱う",0,"2010-10-17 06:35:33 UTC","Gun 4/Sword 2","Fusil 4/Epée 2","총4+검2 카드","枪4·剑2卡","槍4·劍2卡","Gun 4/Sword 2","การ์ดปืน 4 ดาบ 2","This card can be used as either a Gun 4 or a Sword 2.","Cette carte peut être utilisée comme Fusil 4/Epée 2","이 카드는 [총4]or[검2]의 효과가 있습니다.","此卡当作枪4·剑2使用","此卡當作槍4·劍2使用","Digunakan sebagai Gun 4/Sword 2","ใช้การ์ดนี้แทนปืน 4 ดาบ 2"
52,"銃5・剣3カード",1267,1,4,9,,"event04.swf","このカードは銃5・剣3として扱う",0,"2010-10-17 06:35:33 UTC","Gun 5/Sword 3","Fusil 5/Epée 3","총5+검3 카드","枪5·剑3卡","槍5·劍3卡","Gun 5/Sword 3","การ์ดปืน 5 ดาบ 3","This card can be used as either a Gun 5 or a Sword 3.","Cette carte peut être utilisée comme Fusil 5/Epée 3","이 카드는 [총5]or[검3]의 효과가 있습니다.","此卡当作枪3·剑2使用","此卡當作槍5·劍3使用","Digunakan sebagai Gun 5/Sword 3","ใช้การ์ดนี้แทนปืน 5 ดาบ 3"
53,"盾3・移動1カード",1285,0,0,18,,"event04.swf","このカードは盾3・移動1として扱う",0,"2010-10-17 06:35:33 UTC","Shield 3/Move 1","Bouclier 3/Mouvement 1","방어3+이동1 카드","盾3·移动1卡","盾3·移動1卡","Shield 3/Move 1","การ์ดโล่ 3 เคลื่อนย้าย 1","This card can be used as either a Shield 3 or a Move 1.","Cette carte peut être utilisée comme Bouclier 3/Mouvement 1","이 카드는 [방어3]or[이동1]의 효과가 있습니다.","此卡当作盾3·移动1使用","此卡當作盾3·移動1使用","Digunakan sebagai Shield 3/Move 1","ใช้การ์ดนี้แทนโล่ 3 เคลื่อนย้าย 1"
54,"盾4・移動1カード",1321,1,5,9,,"event04.swf","このカードは盾4・移動1として扱う",0,"2010-10-17 06:35:33 UTC","Shield 4/Move 1","Bouclier 4/Mouvement 1","방어4+이동1 카드","盾4·移动1卡","盾4·移動1卡","Shield 4/Move 1","การ์ดโล่ 4 เคลื่อนย้าย 1","This card can be used as either a Shield 4 or a Move 1.","Cette carte peut être utilisée comme Bouclier 4/Mouvement 1","이 카드는 [방어4]or[이동1]의 효과가 있습니다.","此卡当作盾4·移动1使用","此卡當作盾4·移動1使用","Digunakan sebagai Shield 4/Move 2","ใช้การ์ดนี้แทนโล่ 4 เคลื่อนย้าย 1"
55,"盾5・移動1カード",1339,1,5,9,,"event04.swf","このカードは盾5・移動1として扱う",0,"2010-10-17 06:35:33 UTC","Shield 5/Move 1","Bouclier 5/Mouvement 1","방어5+이동1 카드","盾5·移动1卡","盾5·移動1卡","Shield 5/Move 1","การ์ดโล่ 5 เคลื่อนย้าย 1","This card can be used as either a Shield 5 or a Move 1.","Cette carte peut être utilisée comme Bouclier 5/Mouvement 1","이 카드는 [방어5]or[이동1]의 효과가 있습니다.","此卡当作盾5·移动1使用","此卡當作盾5·移動1使用","Digunakan sebagai Shield 5/Move 3","ใช้การ์ดนี้แทนโล่ 5 เคลื่อนย้าย 1"
