"id","name","image","parts_type","color","offset_x","offset_y","offset_scale","power_type","power","duration","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
14,"赤2","eye_a002a_p102",1,0,40,280,100,0,0,0,,"Red 2","Rouge 2","빨강 2","红 2","紅 2","Red 2","สีแดง 2",,,"홀릴 듯한 눈동자",,,,
15,"黄2","eye_a002b_p102",1,0,40,280,100,0,0,0,,"Yellow 2","Jaune 2","노랑 2","黄 2","黃 2","Yellow 2","สีเหลือง 2",,,"홀릴 듯한 눈동자",,,,
16,"緑2","eye_a002c_p102",1,0,40,280,100,0,0,0,,"Green 2","Vert 2","녹색 2","绿 2","綠 2","Green 2","สีเขียว 2",,,"홀릴 듯한 눈동자",,,,
17,"青2","eye_a002d_p102",1,0,40,280,100,0,0,0,,"Blue 2","Bleu 2","파랑 2","蓝 2","藍 2","Blue 2","สีฟ้า 2",,,"홀릴 듯한 눈동자",,,,
18,"紫2","eye_a002e_p102",1,0,40,280,100,0,0,0,,"Purple 2","Violet 2","보라 2","紫 2","紫 2","Purple 2","สีม่วง 2",,,"홀릴 듯한 눈동자",,,,
19,"赤3","eye_b000a_p102",1,0,40,280,100,0,0,0,,"Red 2","Rouge 3","빨강 3","红 3","紅 3","Red 3","สีแดง 3",,,"홀릴 듯한 눈동자",,,,
20,"黄3","eye_b000b_p102",1,0,40,280,100,0,0,0,,"Yellow 2","Jaune 3","노랑 3","黄 3","黃 3","Yellow 3","สีเหลือง 3",,,"홀릴 듯한 눈동자",,,,
21,"緑3","eye_b000c_p102",1,0,40,280,100,0,0,0,,"Green 2","Vert 3","녹색 3","绿 3","綠 3","Green 3","สีเขียว 3",,,"홀릴 듯한 눈동자",,,,
22,"青3","eye_b000d_p102",1,0,40,280,100,0,0,0,,"Blue 2","Bleu 3","파랑 3","蓝 3","藍 3","Blue 3","สีฟ้า 3",,,"홀릴 듯한 눈동자",,,,
23,"紫3","eye_b000e_p102",1,0,40,280,100,0,0,0,,"Purple 2","Violet 3","보라 3","紫 3","紫 3","Purple 3","สีม่วง 3",,,"홀릴 듯한 눈동자",,,,
24,"口0","mouth_a000a_p101",2,0,40,280,100,0,0,0,,"Mouth 0","Lèvre 0","입0","嘴0","嘴0","Mouth 0","ปาก 1",,,"무표정한 입술",,,,
25,"口1","mouth_a001a_p101",2,0,40,280,100,0,0,0,,"Mouth 1","Lèvre 1","입1","嘴1","嘴1","Mouth 1","ปาก 2",,,"놀란 표정의 입술",,,,
26,"口2","mouth_b000a_p101",2,0,40,280,100,0,0,0,,"Mouth 2","Lèvre 2","입2","嘴2","嘴2","Mouth 2","ปาก 3",,,"화난 표정의 입술",,,,
27,"ショート（金）","hair_a000a_p108+hair_a000a_p18",3,0,40,280,100,0,0,0,,"Short (blonde)","Courts (blond(e))","단발머리(금)","短发(金)","短髮(金)","Short (Blonde)","Short (บลอนด์)",,,"청순한 헤어스타일",,,,
28,"ショート（茶）","hair_a000b_p108+hair_a000b_p18",3,0,40,280,100,0,0,0,,"Short (brown)","Courts (brun(e))","단발머리(갈)","短发(褐)","短髮(褐)","Short (Brown)","Short (น้ำตาล)",,,"청순한 헤어스타일",,,,
29,"ショート（青）","hair_a000c_p108+hair_a000c_p18",3,0,40,280,100,0,0,0,,"Short (blue)","Courts (bleu(e))","단발머리(청)","短发(蓝)","短髮(藍)","Short (Blue)","Short (ฟ้า)",,,"청순한 헤어스타일",,,,
30,"ショート（赤）_old","hair_a000d_p108+hair_a000d_p18",3,0,40,280,100,0,0,0,,"Short (red)_old","Courts (roux(sse))_old","단발머리(적)","短发(紅)","短髮(紅)_old","Short (Red)","Short (แดง)",,,"청순한 헤어스타일",,,,
31,"ショート（黒）_old","hair_a000e_p108+hair_a000e_p18",3,0,40,280,100,0,0,0,,"Short (black)_old","Courts (noir(e))_old","단발머리(흑)","短发(黑)","短髮(黑)_old","Short (Black)","Short (ดำ)",,,"청순한 헤어스타일",,,,
32,"ベリーショート（金）","hair_b000a_p108+hair_b000a_p18",3,0,40,280,100,0,0,0,,"Very Short (blonde)","Très Courts (blond(e))","큐피트 파마(금)","超短发(金)","超短髮(金)","Very Short (Blonde)","Very Short (บลอนด์)",,,"귀여운 헤어스타일",,,,
33,"ベリーショート（茶）","hair_b000b_p108+hair_b000b_p18",3,0,40,280,100,0,0,0,,"Very Short (brown)","Très Courts (brun(e))","큐피트 파마(갈)","超短发(褐)","超短髮(褐)","Very Short (Brown)","Very Short (น้ำตาล)",,,"귀여운 헤어스타일",,,,
34,"ベリーショート（青）","hair_b000c_p108+hair_b000c_p18",3,0,40,280,100,0,0,0,,"Very Short (blue)","Très Courts (bleu(e))","큐피트 파마(청)","超短发(蓝)","超短髮(藍)","Very Short (Blue)","Very Short (ฟ้า)",,,"귀여운 헤어스타일",,,,
35,"ベリーショート（赤）_old","hair_b000d_p108+hair_b000d_p18",3,0,40,280,100,0,0,0,,"Very Short (red)_old","Très Courts (roux(sse))_old","큐피트 파마(적)_old","超短发(紅)_old","超短髮(紅)_old","Very Short (Red)_old","Very Short (แดง)_old",,,"귀여운 헤어스타일",,,,
36,"ベリーショート（黒）_old","hair_b000e_p108+hair_b000e_p18",3,0,40,280,100,0,0,0,,"Very Short (black)_old","Très Courts (noir(e))_old","큐피트 파마(흑)_old","超短发(黑)_old","超短髮(黑)_old","Very Short (Black)_old","Very Short (ดำ)_old",,,"귀여운 헤어스타일",,,,
37,"ロングカール（金）","hair_d000a_p108+hair_d000a_p94+hair_d000a_p18",3,0,40,280,100,0,0,0,,"Carl Long (blonde)","Bouclés et Longs (blond(e))","긴머리(금)","长卷发(金)","長卷髮(金)","Carl Long (Blonde)","Long Curl (บลอนด์)",,,"여성스러운 헤어스타일",,,,
38,"ロングカール（茶）","hair_d000b_p108+hair_d000b_p94+hair_d000b_p18",3,0,40,280,100,0,0,0,,"Carl Long (brown)","Bouclés et Longs  (brun(e))","긴머리(갈)","长卷发(褐)","長卷髮(褐)","Carl Long (Brown)","Long Curl (น้ำตาล)",,,"여성스러운 헤어스타일",,,,
39,"ロングカール（青）","hair_d000c_p108+hair_d000c_p94+hair_d000c_p18",3,0,40,280,100,0,0,0,,"Carl Long (blue)","Bouclés et Longs  (bleu(e))","긴머리(청)","长卷发(蓝)","長卷髮(藍)","Carl Long (Blue)","Long Curl (ฟ้า)",,,"여성스러운 헤어스타일",,,,
40,"ロングカール（赤）_old","hair_d000d_p108+hair_d000d_p94+hair_d000d_p18",3,0,40,280,100,0,0,0,,"Carl Long (red)_old","Bouclés et Longs  (roux(sse))_old","긴머리(적)_old","长卷发(紅)_old","長卷髮(紅)_old","Carl Long (Red)_old","Long Curl (แดง)_old",,,"여성스러운 헤어스타일",,,,
41,"ロングカール（黒）_old","hair_d000e_p108+hair_d000e_p94+hair_d000e_p18",3,0,40,280,100,0,0,0,,"Carl Long (black)_old","Bouclés et Longs  (blond(e))_old","긴머리(흑)_old","长卷发(黑)_old","長卷髮(黑)_old","Carl Long (Black)_old","Long Curl (ดำ)_old",,,"여성스러운 헤어스타일",,,,
42,"人形のブラウス","blouse_a000a_p33+blouse_a000a_p67+blouse_a000a_p87",10,0,0,0,100,0,0,0,,"Doll's blouse","Chemisier de Poupée","인형의 블라우스","娃娃的衬衫","娃娃的襯衫","Doll Blouse","เสื้อตุ๊กตา",,,"인형의 블라우스",,,,
43,"人形のスカート","skirt_a000a_p69",11,0,0,0,100,0,0,0,,"Doll's skirt","Jupe de Poupée","인형의 스커트","娃娃的裙子","娃娃的裙子","Doll Skirt","กระโปรงตุ๊กตา",,,"인형의 스커트",,,,
44,"人形の靴","shoes_a000a_p48+shoes_a000a_p51+shoes_a000a_p59+shoes_a000a_p62",13,0,0,0,100,0,0,0,,"Doll's shoes","Chaussures de Poupée","인형의 신발","娃娃的鞋子","娃娃的鞋子","Doll Shoes","รองเท้าตุ๊กตา",,,"인형의 신발",,,,
45,"アメジスト・ドレス","dress_a004a_p33+dress_a004a_p64+dummy_p69+dress_a004a_p67+dress_a004a_p87",12,0,0,0,100,0,0,0,,"Amethyst dress","Robe Améthyste","자수정 드레스","紫晶礼服","紫晶禮服","Amethyst Dress","ชุดอเมธิสต์",,,"자수정빛이 나는 드레스",,,,
46,"ブルー・ドレス","dress_a004b_p33+dress_a004b_p64+dummy_p69+dress_a004b_p67+dress_a004b_p87",12,0,0,0,100,0,0,0,,"Blue Dress","Robe Bleue","블루 드레스","蓝礼服","藍禮服","Blue Dress","ชุดบลู",,,"푸른빛이 나는 드레스",,,,
47,"ルビー・ドレス","dress_a004c_p33+dress_a004c_p64+dummy_p69+dress_a004c_p67+dress_a004c_p87",12,0,0,0,100,0,0,0,,"Ruby Dress","Robe Rubis","루비 드레스","红宝石礼服","紅寶石禮服","Ruby Dress","ชุดรูบี้",,,"루비로 만들어진 드레스",,,,
48,"ヘアリボン","ribbon_a000a_p112",20,0,0,0,100,0,0,0,,"Hair Ribbon","Ruban","헤어 리본","发带","髮帶","Hair Ribbon","โบว์ผูกผม",,,"귀여운 헤어 리본",,,,
49,"銀星のヘアピン","hairpin_a000a_p117",20,0,0,0,100,0,0,0,,"Silver Star Hairpin","Barrette étoile en argent","은빛 헤어핀","银星发夹","銀星髮夾","Silver Star Hairpin","กิ๊บดาวสีเงิน",,,"은색의 빛이 나는 헤어핀",,,,
50,"金星のヘアピン","hairpin_a000b_p117",20,0,0,0,100,0,0,0,,"Gold Star Hairpin","Barrette étoile en or","금빛 헤어핀","金星发夹","金星髮夾","Gold Star Hairpin","กิ๊บดาวสีทอง",,,"금색의 빛이 나는 헤어핀",,,,
51,"サマー・ホワイト","dress_b000a_p67+dummy_p33+dummy_p69+dummy_p87",12,0,0,0,100,0,0,0,,"Summer White","Blanc printanier","서머 드레스(백)","白色夏装","白色夏裝","Summer White","ชุดฤดูร้อน (ขาว)",,,"여름을 만끽하는 서머 드레스",,,,
52,"サマー・ブラック","dress_b000b_p67+dummy_p33+dummy_p69+dummy_p87",12,0,0,0,100,0,0,0,,"Summer Black","Noir estival","서머 드레스(흑)","黑色夏装","黑色夏裝","Summer Black","ชุดฤดูร้อน (ดำ)",,,"여름을 만끽하는 서머 드레스",,,,
53,"マリン・リボン","ribbon_a001a_p112",20,0,0,0,100,0,0,0,,"Marine Ribbon","Ruban bleu marine","마린 리본","海蓝缎带","海藍緞帶","Marine Ribbon","โบว์ (ฟ้า)",,,"귀여운 리본",,,,
54,"オブシディアン・リボン","ribbon_a001b_p112",20,0,0,0,100,0,0,0,,"Obsidian Ribbon","Ruban obsidienne","흑요석 리본","黑曜缎带","黑曜緞帶","Obsidian Ribbon","โบว์ (ดำ)",,,"귀티나는 리본",,,,
55,"マリン・サンダル","shoes_c000a_p51+shoes_c000a_p62",13,0,0,0,100,0,0,0,,"Marine Sandal","Sandales bleu marine","마린 샌들","海蓝凉鞋","海藍涼鞋","Marine Sandal","รองเท้าแตะ (ฟ้า)",,,"귀여운 샌들",,,,
56,"オブシディアン・サンダル","shoes_c000b_p51+shoes_c000b_p62",13,0,0,0,100,0,0,0,,"Obsidian Sandal","Sandales obsidienne","흑요석 샌들","黑曜凉鞋","黑曜涼鞋","Obsidian Sandal","รองเท้าแตะ (ดำ)",,,"귀티나는 샌들",,,,
57,"神秘のティアラ I","tiara_m000a_p114",20,0,0,0,100,5,30,43200,"クエスト探索時間を__POW__%短縮します","Mysterious Tiara I","Diadème Mystérieux I","신비의 티아라I","神秘的发冠I","神秘的髮冠I","Mysterious Tiara I","มงกุฎเร้นลับ 1","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mempercepat pencarian Quest sebanyak __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง __POW__%"
58,"神秘のティアラ II","tiara_m000b_p114",20,0,0,0,100,5,50,43200,"クエスト探索時間を__POW__%短縮します","Mysterious Tiara II","Diadème Mystérieux II","신비의 티아라II","神秘的发冠II","神秘的髮冠II","Mysterious Tiara II","มงกุฎเร้นลับ 2","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mempercepat pencarian Quest sebanyak __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง __POW__%"
59,"神秘のティアラ III","tiara_m000c_p114",20,0,0,0,100,5,75,43200,"クエスト探索時間を__POW__%短縮します","Mysterious Tiara III","Diadème Mystérieux III","신비의 티아라III","神秘的发冠III","神秘的髮冠III","Mysterious Tiara III","มงกุฎเร้นลับ 3","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mempercepat pencarian Quest sebanyak __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง __POW__%"
60,"使い魔のフェアリー I","fairy_m000a_p126",23,0,0,0,100,2,1,43200,"クエスト同時探索数を__POW__増加します","Familiar Fairy I","Fée Domestique I","심부름꾼 악령I","使魔的妖精I","使魔的妖精I","Familiar Fairy I","แฟรี่รับใช้1","Allows you to search for __POW__ additional quest simultaneously.","Augmente la possibilité de recherches multiples de __POW__","최대 퀘스트 리스트를 +__POW__ 추가 (유효기간30일)","任务同时探索数增加__POW__个","任務同時探索數增加__POW__個","Memberikan __POW__ slot pencarian Quest.","เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน __POW__ เควส"
61,"使い魔のフェアリー II","fairy_m000b_p126",23,0,0,0,100,2,2,43200,"クエスト同時探索数を__POW__増加します","Familiar Fairy II","Fée Domestique II","심부름꾼 악령II","使魔的妖精II","使魔的妖精II","Familiar Fairy II","แฟรี่รับใช้ 2","Allows you to search for __POW__ additional quest simultaneously.","Augmente la possibilité de recherches multiples de __POW__","최대 퀘스트 리스트를 +__POW__ 추가 (유효기간30일)","任务同时探索数增加__POW__个","任務同時探索數增加__POW__個","Memberikan __POW__ slot pencarian Quest.","เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน __POW__ เควส"
62,"使い魔のフェアリー III","fairy_m000c_p126",23,0,0,0,100,2,3,43200,"クエスト同時探索数を__POW__増加します","Familiar Fairy III","Fée Domestique III","심부름꾼 악령III","使魔的妖精III","使魔的妖精III","Familiar Fairy III","แฟรี่รับใช้ 3","Allows you to search for __POW__ additional quest simultaneously.","Augmente la possibilité de recherches multiples de __POW__","최대 퀘스트 리스트를 +__POW__ 추가 (유효기간30일)","任务同时探索数增加__POW__个","任務同時探索數增加__POW__個","Memberikan __POW__ slot pencarian Quest.","เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน __POW__ เควส"
63,"魔女のイヤリング I","earring_m000a_p104",22,0,0,0,100,1,10,43200,"Ap回復時間を__POW__分短縮します","Witch's Earring I","Boucles d'oreille de Magicien I","마녀의 귀걸이I","魔女的耳环I","魔女的耳環I","Witch's Earring I","ต่างหูแม่มด 1","AP recovery time is reduced by __POW__ minutes.","Raccourcit le temps de récupération d'AP de__POW__min.","AP의 회복 시간을 __POW__분 단축","Ap回复时间缩短__POW__分钟","AP回復時間縮短__POW__分鐘","Mempercepat waktu pemulihan AP sebanyak __POW__menit.","ลดเวลาฟื้น AP __POW__นาที"
64,"魔女のイヤリング II","earring_m000b_p104",22,0,0,0,100,1,15,43200,"Ap回復時間を__POW__分短縮します","Witch's Earring II","Boucles d'oreille de Magicien II","마녀의 귀걸이II","魔女的耳环II","魔女的耳環II","Witch's Earring II","ต่างหูแม่มด 2","AP recovery time is reduced by __POW__ minutes.","Raccourcit le temps de récupération d'AP de__POW__min.","AP의 회복 시간을 __POW__분 단축","Ap回复时间缩短__POW__分钟","AP回復時間縮短__POW__分鐘","Mempercepat waktu pemulihan AP sebanyak __POW__menit.","ลดเวลาฟื้น AP __POW__นาที"
65,"魔女のイヤリング III","earring_m000c_p104",22,0,0,0,100,1,20,43200,"Ap回復時間を__POW__分短縮します","Witch's Earring III","Boucles d'oreille de Magicien III","마녀의 귀걸이III","魔女的耳环III","魔女的耳環III","Witch's Earring III","ต่างหูแม่มด 3","AP recovery time is reduced by __POW__ minutes.","Raccourcit le temps de récupération d'AP de__POW__min.","AP의 회복 시간을 __POW__분 단축","Ap回复时间缩短__POW__分钟","AP回復時間縮短__POW__分鐘","Mempercepat waktu pemulihan AP sebanyak __POW__menit.","ลดเวลาฟื้น AP __POW__นาที"
66,"幸運のワンド I","wand_m000a_p34",21,0,0,0,100,4,50,43200,"獲得GEMを__POW__%増加します","Lucky Wand I","Baguette de Chance I","행운의 완드I","幸运的权杖I","幸運的權杖I","Lucky Wand I","คทาโชคลาภ 1","GEM received after battles is increased by __POW__%.","__POW__% de bonus GEM","획득 GEM을 __POW__% 증가 (유효기간30일)","获得GEM增加__POW__%","獲得GEM增加__POW__%","10% Bonus GEM","เพิ่ม GEM ที่ได้รับ 10%"
67,"幸運のワンド II","wand_m000b_p34",21,0,0,0,100,4,100,43200,"獲得GEMを__POW__%増加します","Lucky Wand II","Baguette de Chance II","행운의 완드II","幸运的权杖II","幸運的權杖II","Lucky Wand II","คทาโชคลาภ 2","GEM received after battles is increased by __POW__%.","__POW__% de bonus GEM","획득 GEM을 __POW__% 증가 (유효기간30일)","获得GEM增加__POW__%","獲得GEM增加__POW__%","50% Bonus GEM","เพิ่ม GEM ที่ได้รับ 50%"
68,"幸運のワンド III","wand_m000c_p34",21,0,0,0,100,4,200,43200,"獲得GEMを__POW__%増加します","Lucky Wand III","Baguette de Chance III","행운의 완드III","幸运的权杖III","幸運的權杖III","Lucky Wand III","คทาโชคลาภ 3","GEM received after battles is increased by __POW__%.","__POW__% de bonus GEM","획득 GEM을 __POW__% 증가 (유효기간30일)","获得GEM增加__POW__%","獲得GEM增加__POW__%","100% Bonus GEM","เพิ่ม GEM ที่ได้รับ 100%"
69,"人形のブラウス（黒）","blouse_a000b_p33+blouse_a000b_p67+blouse_a000b_p87",10,0,0,0,100,0,0,0,,"Black Dolly Blouse","Chemisier de Poupée Noir","인형의 블라우스(흑)","娃娃的衬衫(黑)","娃娃的襯衫(黑)","Black Dolly Blouse","เสื้อตุ๊กตา (ดำ)",,,"인형의 검은색 블라우스",,,,
70,"人形のスカート（青）","skirt_a000b_p69",11,0,0,0,100,0,0,0,,"Blue Skirt","Jupe Bleue","인형의 스커트(청)","娃娃的裙子(蓝)","娃娃的裙子(藍)","Blue Skirt","กระโปรงตุ๊กตา (น้ำเงิน)",,,"인형의 푸른색 스커트",,,,
71,"人形のスカート（黒）","skirt_a000c_p69",11,0,0,0,100,0,0,0,,"Black Skirt","Jupe Noire","인형의 스커트(흑)","娃娃的裙子(黑)","娃娃的裙子(黑)","Black Skirt","กระโปรงตุ๊กตา (ดำ)",,,"인형의 검은색 스커트",,,,
72,"マッシュ（茶）","hair_b001b_p108",3,0,40,280,100,0,0,0,,"Medium Short Cut Hair (Brown)","Cheveux mi-longs (Brun)","버섯머리(갈)","蘑菇头发型（茶）","蘑菇頭髮型（茶）","Medium Short (Brown)","Mash (น้ำตาล)",,"Coiffure enfantine","차분한 분위기의 헤어스타일",,,"Gaya rambut penuh kelembutan.","ทรงผมที่ให้ความรู้สึกสงบ"
73,"マッシュ（白）","hair_b001d_p108",3,0,40,280,100,0,0,0,,"Medium Short Cut Hair (White)","Cheveux mi-longs (Blanc)","버섯머리(백)","蘑菇头发型（白）","蘑菇頭髮型（白）","Medium Short (White)","Mash (ขาว)",,"Coiffure enfantine","차분한 분위기의 헤어스타일",,,"Gaya rambut penuh kelembutan.","ทรงผมที่ให้ความรู้สึกสงบ"
74,"マッシュ（緑）","hair_b001e_p108",3,0,40,280,100,0,0,0,,"Medium Short Cut Hair (Green)","Cheveux mi-longs (Vert)","버섯머리(녹)","蘑菇头发型（绿）","蘑菇頭髮型（綠）","Medium Short (Green)","Mash (เขียว)",,"Coiffure enfantine","차분한 분위기의 헤어스타일",,,"Gaya rambut penuh kelembutan.","ทรงผมที่ให้ความรู้สึกสงบ"
75,"ツインテールドリル（金）","hair_c000a_p108+hair_c000a_p18",3,0,40,280,100,0,0,0,,"Twin Tail Drill (Blond)","Couettes (Blond)","트윈테일 드릴(금)","螺旋双马尾（金）","螺旋雙馬尾（金）","Twin Tail (Blonde)","Twintail Drill (บลอนด์)",,"Coiffure noble","귀엽고 깜직한 헤어스타일",,,"Gaya rambut mewah.","ทรงผมที่ให้ความรู้สึกสง่างาม"
76,"ツインテールドリル（茶）","hair_c000b_p108+hair_c000b_p18",3,0,40,280,100,0,0,0,,"Twin Tail Drill (Brown)","Couettes (Marron)","트윈테일 드릴(갈)","螺旋双马尾（茶）","螺旋雙馬尾（茶）","Twin Tail (Brown)","Twintail Drill (น้ำตาล)",,"Coiffure noble","귀엽고 깜직한 헤어스타일",,,"Gaya rambut mewah.","ทรงผมที่ให้ความรู้สึกสง่างาม"
77,"ツインテールドリル（白）","hair_c000d_p108+hair_c000d_p18",3,0,40,280,100,0,0,0,,"Twin Tail Drill (White)","Couettes (Blanc)","트윈테일 드릴(백)","螺旋双马尾（白）","螺旋雙馬尾（白）","Twin Tail (White)","Twintail Drill (ขาว)",,"Coiffure noble","귀엽고 깜직한 헤어스타일",,,"Gaya rambut mewah.","ทรงผมที่ให้ความรู้สึกสง่างาม"
78,"アイパッチ（黒）","eyepatch_m000a_p105",22,0,0,0,100,0,0,0,,"Black Eye patch","Cache-oeil Noir","외눈안대(흑)","单眼眼罩（黑）","單眼眼罩（黑）","Black Eye patch","ผ้าปิดตา (ดำ)",,"Peut également être utilisé en tant que pansement !","부상치료에도 사용할 수 있는 외눈안대 ",,,"Dapat digunakan sebagai perban.","ผ้าปิดตาที่ใช้รักษาอาการบาดเจ็บได้"
79,"アイパッチ（白）","eyepatch_m000b_p105",22,0,0,0,100,0,0,0,,"White Eye patch","Cache-oeil Blanc","외눈안대(백)","单眼眼罩（白）","單眼眼罩（白）","White Eye patch","ผ้าปิดตา (ขาว)",,"Peut également être utilisé en tant que pansement !","부상치료에도 사용할 수 있는 외눈안대 ",,,"Dapat digunakan sebagai perban.","ผ้าปิดตาที่ใช้รักษาอาการบาดเจ็บได้"
80,"月桂樹の冠（銅）","tiara_a000a_p112",20,0,0,0,100,0,0,0,,"Crown of Laurel-tree (Copper)","Couronne de Laurier (Cuivre)","월계수 관(동)","月桂树发冠（铜）","月桂樹髮冠（銅）","Laurier Crown (Copper)","มงกุฎชัยพฤกษ์ (ทองแดง)",,,"승리자의 영광이 깃든 월계수 관",,,,
81,"月桂樹の冠（銀）","tiara_a000b_p112",20,0,0,0,100,0,0,0,,"Crown of Laurel-tree (Sliver)","Couronne de Laurier (Argent)","월계수 관(은)","月桂树发冠（银）","月桂樹髮冠（銀）","Laurier Crown (Silver)","มงกุฎชัยพฤกษ์ (เงิน)",,,"승리자의 영광이 깃든 월계수 관",,,,
82,"月桂樹の冠（金）","tiara_a000c_p112",20,0,0,0,100,0,0,0,,"Crown of Laurel-tree (Gold)","Couronne de Laurier (Or)","월계수 관(금)","月桂树发冠（金）","月桂樹髮冠（金）","Laurier Crown (Gold)","มงกุฎชัยพฤกษ์ (ทอง)",,,"승리자의 영광이 깃든 월계수 관",,,,
83,"アイマスク（黒）","eyemask_a000a_p105",22,0,0,0,100,0,0,0,,"Black Eye Mask","Masque Noir","아이마스크(흑)","眼罩（黑）","眼罩（黑）","Black Mask","หน้ากากปิดตา (ดำ)",,,"가면무도회의 필수 아이템",,,,
84,"アイマスク（赤）","eyemask_a000b_p105",22,0,0,0,100,0,0,0,,"Red Eye Mask","Masque Rouge","아이마스크(적)","眼罩（红）","眼罩（紅）","Red Mask","หน้ากากปิดตา (แดง)",,,"가면무도회의 필수 아이템",,,,
